"Gene","padj_1","p_value_1","lfcSE.x","stat.x","log2FC_1","baseMean.x","Symbol.x","Description.x","padj_2","p_value_2","lfcSE.y","stat.y","log2FC_2","baseMean.y","Symbol.y","Description.y","Regulation"
51311,2.17e-08,7.73e-10,0.1791,-6.1503228,-1.1012476,14460.07,"TLR8","toll like receptor 8",0.999,0.995,0.6368,-0.0063424,-0.0040391,5912.75,"TLR8","toll like receptor 8","Downregulated"
51316,2.76e-09,6.72e-11,0.1837,-6.5268641,-1.1990821,5937.28,"PLAC8","placenta associated 8",0.999,0.876,0.1088,-0.1560846,-0.0169744,5284.13,"PLAC8","placenta associated 8","Downregulated"
51776,6.24e-11,6.91e-13,0.2007,-7.1811811,-1.4410596,1874.87,"MAP3K20","mitogen-activated protein kinase kinase kinase 20",0.999,0.961,0.4359,-0.0489462,-0.0213348,1139,"MAP3K20","mitogen-activated protein kinase kinase kinase 20","Downregulated"
53831,1.49e-15,1.28e-18,0.3238,-8.8074114,-2.8518314,304.3,"GPR84","G protein-coupled receptor 84",0.986,0.42,0.5407,-0.8062007,-0.4358747,122.12,"GPR84","G protein-coupled receptor 84","Downregulated"
55331,1.15e-09,2.36e-11,0.1704,-6.6818769,-1.1387339,2104.15,"ACER3","alkaline ceramidase 3",0.999,0.994,0.331,0.0078886,0.0026111,1690.09,"ACER3","alkaline ceramidase 3","Downregulated"
55332,2.18e-14,2.76e-17,0.1756,-8.4562044,-1.4851503,1381.7,"DRAM1","DNA damage regulated autophagy modulator 1",0.999,0.642,0.4046,-0.4653668,-0.1882708,776.71,"DRAM1","DNA damage regulated autophagy modulator 1","Downregulated"
55647,3.18e-08,1.23e-09,0.2555,-6.0759612,-1.5524508,992.79,"RAB20","RAB20, member RAS oncogene family",0.999,0.608,0.4246,-0.5131208,-0.2178628,400.48,"RAB20","RAB20, member RAS oncogene family","Downregulated"
55784,6.44e-10,1.16e-11,0.1714,-6.7848424,-1.1627719,18423.34,"MCTP2","multiple C2 and transmembrane domain containing 2",0.999,0.672,0.1735,-0.423999,-0.0735812,1294.4,"MCTP2","multiple C2 and transmembrane domain containing 2","Downregulated"
56034,3.95e-05,5.13e-06,0.2617,-4.5594747,-1.1932362,377.21,"PDGFC","platelet derived growth factor C",0.999,0.654,0.6042,0.4475794,0.2704401,366.99,"PDGFC","platelet derived growth factor C","Downregulated"
57047,1.85e-09,4.16e-11,0.2626,-6.5982956,-1.7326158,243.96,"PLSCR2","phospholipid scramblase 2",0.583,0.0828,0.19,1.7346793,0.3295428,37.57,"PLSCR2","phospholipid scramblase 2","Downregulated"
57568,8.68e-12,6.04e-14,0.2342,-7.5071123,-1.7579789,5685.02,"SIPA1L2","signal induced proliferation associated 1 like 2",0.999,0.763,0.3269,-0.3018275,-0.0986823,646.15,"SIPA1L2","signal induced proliferation associated 1 like 2","Downregulated"
58484,3.27e-08,1.28e-09,0.2102,-6.0704827,-1.2760021,4423.2,"NLRC4","NLR family CARD domain containing 4",0.999,0.964,0.5564,0.0450209,0.025051,1761.78,"NLRC4","NLR family CARD domain containing 4","Downregulated"
60675,1.69e-10,2.32e-12,0.2496,-7.0136165,-1.7505507,8744.45,"PROK2","prokineticin 2",0.999,0.881,0.4201,-0.1491013,-0.062638,308.7,"PROK2","prokineticin 2","Downregulated"
64108,0.000136,2.19e-05,0.3261,-4.2441049,-1.3839758,1603.96,"RTP4","receptor transporter protein 4",0.999,0.699,0.1074,0.386385,0.0414916,252.78,"RTP4","receptor transporter protein 4","Downregulated"
64135,6.33e-05,8.85e-06,0.2716,-4.4436052,-1.2068857,4986.51,"IFIH1","interferon induced with helicase C domain 1",0.999,0.725,0.1448,-0.3522933,-0.0510039,1575.01,"IFIH1","interferon induced with helicase C domain 1","Downregulated"
64859,1.17e-10,1.47e-12,0.1582,-7.0775859,-1.1197829,21866.49,"NABP1","nucleic acid binding protein 1",0.999,0.648,0.168,0.4559381,0.0766059,2829.44,"NABP1","nucleic acid binding protein 1","Downregulated"
79660,1.79e-09,4e-11,0.183,-6.6042462,-1.2086587,11177.81,"PPP1R3B","protein phosphatase 1 regulatory subunit 3B",0.999,0.666,0.071,0.4318481,0.0306522,675.18,"PPP1R3B","protein phosphatase 1 regulatory subunit 3B","Downregulated"
79689,6.68e-10,1.23e-11,0.1679,-6.7771074,-1.1377901,24219.91,"STEAP4","STEAP4 metalloreductase",0.999,0.685,0.6123,-0.4062393,-0.2487357,1626.14,"STEAP4","STEAP4 metalloreductase","Downregulated"
79836,1.43e-15,1.17e-18,0.1465,-8.8179718,-1.2915255,1211.95,"LONRF3","LON peptidase N-terminal domain and ring finger 3",0.999,0.971,0.1068,-0.0357712,-0.0038191,925.12,"LONRF3","LON peptidase N-terminal domain and ring finger 3","Downregulated"
81399,1.68e-08,5.72e-10,0.1955,-6.1978308,-1.2117933,91.35,"OR4F16","olfactory receptor family 4 subfamily F member 16",0.588,0.0854,0.1137,-1.7201472,-0.1956186,24.13,"OR4F16","olfactory receptor family 4 subfamily F member 16","Downregulated"
84002,2.98e-08,1.14e-09,0.2005,-6.0884135,-1.2204258,1322.3,"B3GNT5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",0.999,0.505,0.4023,-0.667107,-0.2683934,511.28,"B3GNT5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5","Downregulated"
84674,2.11e-18,2.87e-22,0.1433,-9.7051717,-1.3904376,1243.18,"CARD6","caspase recruitment domain family member 6",0.999,0.97,0.3661,-0.0374239,-0.013701,1009.04,"CARD6","caspase recruitment domain family member 6","Downregulated"
91351,4.49e-09,1.22e-10,0.2086,-6.4370279,-1.3424957,26199.71,"DDX60L","DExD/H-box 60 like",0.999,0.814,0.1474,-0.2349893,-0.034643,4780.29,"DDX60L","DExD/H-box 60 like","Downregulated"
94240,2.51e-05,2.99e-06,0.2701,-4.6713822,-1.2616865,11719.06,"EPSTI1","epithelial stromal interaction 1",0.999,0.65,0.1647,-0.4541928,-0.0748086,1320.13,"EPSTI1","epithelial stromal interaction 1","Downregulated"
114224,3.84e-10,6.22e-12,0.2133,-6.8744814,-1.4666374,170.83,"LOC114224","uncharacterized LOC114224",0.866,0.248,0.2241,1.1546717,0.2587404,173.94,"LOC114224","uncharacterized LOC114224","Downregulated"
114769,6.07e-11,6.67e-13,0.1716,-7.1860408,-1.232984,3651.2,"CARD16","caspase recruitment domain family member 16",0.999,0.727,0.3035,-0.3486386,-0.1058156,1339.84,"CARD16","caspase recruitment domain family member 16","Downregulated"
115362,0.00316,0.000876,0.3341,-3.3276572,-1.1116535,32483.9,"GBP5","guanylate binding protein 5",0.818,0.206,0.204,-1.2660101,-0.2582689,5162.55,"GBP5","guanylate binding protein 5","Downregulated"
116369,1.84e-11,1.54e-13,0.2543,-7.3837061,-1.8773666,982.61,"SLC26A8","solute carrier family 26 member 8",0.999,0.707,0.4159,0.3755116,0.1561764,32.85,"SLC26A8","solute carrier family 26 member 8","Downregulated"
116844,2.4e-08,8.82e-10,0.2404,-6.1294352,-1.4734032,4047.42,"LRG1","leucine rich alpha-2-glycoprotein 1",0.91,0.3,0.5764,-1.035995,-0.5971949,227.76,"LRG1","leucine rich alpha-2-glycoprotein 1","Downregulated"
118932,2.49e-10,3.63e-12,0.3575,-6.950856,-2.4847694,1092.26,"ANKRD22","ankyrin repeat domain 22",0.999,0.46,0.515,-0.7390624,-0.3806259,103.82,"ANKRD22","ankyrin repeat domain 22","Downregulated"
122416,4.37e-05,5.78e-06,0.2475,-4.5342637,-1.122204,1704.68,"ANKRD9","ankyrin repeat domain 9",0.587,0.0845,0.1176,-1.725176,-0.2029099,159.33,"ANKRD9","ankyrin repeat domain 9","Downregulated"
126969,1.73e-05,1.94e-06,0.2347,-4.7595502,-1.1170212,14.79,"SLC44A3","solute carrier family 44 member 3",0.905,0.292,0.48,-1.0532286,-0.5055979,15.46,"SLC44A3","solute carrier family 44 member 3","Downregulated"
129607,0.000649,0.000137,0.4135,-3.8143087,-1.5771375,6974.33,"CMPK2","cytidine/uridine monophosphate kinase 2",0.999,0.942,0.2657,0.0733832,0.0194987,691.43,"CMPK2","cytidine/uridine monophosphate kinase 2","Downregulated"
131405,0.000559,0.000114,0.3236,-3.8578476,-1.2482514,36.68,"TRIM71","tripartite motif containing 71",0.999,0.796,0.6166,0.2582194,0.1592134,48.49,"TRIM71","tripartite motif containing 71","Downregulated"
140465,1.99e-05,2.29e-06,0.2903,-4.725941,-1.3718765,395.59,"MYL6B","myosin light chain 6B",0.999,0.549,0.089,0.5991925,0.0533171,150.25,"MYL6B","myosin light chain 6B","Downregulated"
151393,4.44e-09,1.2e-10,0.2351,-6.4390583,-1.5136542,1270.98,"RMDN2","regulator of microtubule dynamics 2",0.999,0.886,0.4438,-0.1428239,-0.0633846,1094.69,"RMDN2","regulator of microtubule dynamics 2","Downregulated"
162517,0.000635,0.000133,0.4135,-3.8204868,-1.5797559,123.27,"FBXO39","F-box protein 39",0.585,0.0836,0.1683,1.7298922,0.2911516,31.95,"FBXO39","F-box protein 39","Downregulated"
167555,2.4e-15,2.28e-18,0.153,-8.7427448,-1.3372873,398.67,"FAM151B","family with sequence similarity 151 member B",0.999,0.794,0.4505,0.261593,0.1178505,181.21,"FAM151B","family with sequence similarity 151 member B","Downregulated"
200315,2.14e-08,7.61e-10,0.1936,-6.1528913,-1.1914574,4937.63,"APOBEC3A","apolipoprotein B mRNA editing enzyme catalytic subunit 3A",0.999,0.836,0.643,-0.2070671,-0.1331399,1454.55,"APOBEC3A","apolipoprotein B mRNA editing enzyme catalytic subunit 3A","Downregulated"
219539,0.000298,5.45e-05,0.3065,-4.0354302,-1.2368404,59.63,"YPEL4","yippee like 4",0.906,0.294,0.2253,-1.0495639,-0.2364516,34.98,"YPEL4","yippee like 4","Downregulated"
220929,9.64e-11,1.17e-12,0.1927,-7.1091223,-1.3701031,2886.31,"ZNF438","zinc finger protein 438",0.999,0.964,0.2583,0.0454238,0.0117335,793.34,"ZNF438","zinc finger protein 438","Downregulated"
253827,1.57e-09,3.43e-11,0.1795,-6.6267643,-1.1895751,520.61,"MSRB3","methionine sulfoxide reductase B3",0.999,0.823,0.4446,-0.2241892,-0.0996828,28.08,"MSRB3","methionine sulfoxide reductase B3","Downregulated"
256435,3.15e-05,3.92e-06,0.2629,-4.6156031,-1.2135579,663.3,"ST6GALNAC3","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",0.999,0.965,0.3102,0.0432999,0.0134327,210.85,"ST6GALNAC3","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","Downregulated"
266747,9.25e-09,2.87e-10,0.2218,-6.3056157,-1.3985495,2398.83,"RGL4","ral guanine nucleotide dissociation stimulator like 4",0.975,0.396,0.0961,0.848322,0.0815022,1344.97,"RGL4","ral guanine nucleotide dissociation stimulator like 4","Downregulated"
285172,8.31e-12,5.64e-14,0.1554,-7.5162142,-1.1683267,13720.19,"HYCC2","hyccin PI4KA lipid kinase complex subunit 2",0.999,0.99,0.0399,-0.0124477,-0.0004971,2669.1,"HYCC2","hyccin PI4KA lipid kinase complex subunit 2","Downregulated"
286006,1.97e-11,1.68e-13,0.1736,-7.3720201,-1.2800794,1291.87,"LSMEM1","leucine rich single-pass membrane protein 1",0.999,0.624,0.2015,-0.4902442,-0.0987973,117.22,"LSMEM1","leucine rich single-pass membrane protein 1","Downregulated"
338339,1.62e-11,1.32e-13,0.2617,-7.4045381,-1.9377611,3371.96,"CLEC4D","C-type lectin domain family 4 member D",0.999,0.752,0.6474,-0.3165693,-0.2049579,649.29,"CLEC4D","C-type lectin domain family 4 member D","Downregulated"
339453,9.47e-05,1.43e-05,0.2829,-4.3386568,-1.2274888,10.89,"TMEM240","transmembrane protein 240",0.984,0.414,0.1328,0.8168939,0.1085006,39.67,"TMEM240","transmembrane protein 240","Downregulated"
339751,1.29e-10,1.67e-12,0.2145,-7.0594954,-1.5142687,262.71,"MAP3K20-AS1","MAP3K20 antisense RNA 1",0.999,0.986,0.4302,0.01735,0.0074636,101.97,"MAP3K20-AS1","MAP3K20 antisense RNA 1","Downregulated"
345275,1.44e-08,4.77e-10,0.1894,-6.226441,-1.1794675,77.68,"HSD17B13","hydroxysteroid 17-beta dehydrogenase 13",0.832,0.217,0.2063,-1.2346568,-0.254673,32.52,"HSD17B13","hydroxysteroid 17-beta dehydrogenase 13","Downregulated"
399972,1.93e-11,1.63e-13,0.2765,-7.3760422,-2.0391909,591.65,"GSEC","G-quadruplex forming sequence containing lncRNA",0.999,0.775,0.1256,0.2864783,0.035976,43.89,"GSEC","G-quadruplex forming sequence containing lncRNA","Downregulated"
400759,0.00454,0.00134,0.5771,-3.2067852,-1.8504825,469.49,"GBP1P1","guanylate binding protein 1 pseudogene 1",0.905,0.294,0.2428,-1.0503693,-0.2550148,21.82,"GBP1P1","guanylate binding protein 1 pseudogene 1","Downregulated"
406991,1.47e-10,1.94e-12,0.1696,-7.0390651,-1.193931,89.81,"MIR21","microRNA 21",0.544,0.0701,0.3015,1.8110597,0.5460026,26.66,"MIR21","microRNA 21","Downregulated"
652965,0.00254,0.000675,0.4064,-3.399343,-1.3814887,2748.96,"SNORA48","small nucleolar RNA, H/ACA box 48",0.914,0.304,0.0992,-1.0286784,-0.1020939,240.04,"SNORA48","small nucleolar RNA, H/ACA box 48","Downregulated"
677840,0.00445,0.00131,0.4084,-3.2133024,-1.312441,85.15,"SNORA71D","small nucleolar RNA, H/ACA box 71D",0.875,0.257,0.1236,-1.1339056,-0.1401395,36.96,"SNORA71D","small nucleolar RNA, H/ACA box 71D","Downregulated"
100130733,6.99e-05,9.95e-06,0.2766,-4.4182475,-1.2219321,280.64,"LRRC70","leucine rich repeat containing 70",0.999,0.553,0.1185,-0.5925723,-0.0702111,46.57,"LRRC70","leucine rich repeat containing 70","Downregulated"
100189399,0.00525,0.00159,0.3726,-3.1575481,-1.1764068,21.7,"TRK-CTT2-2","tRNA-Lys (anticodon CTT) 2-2",0.999,0.667,0.2849,-0.4299009,-0.1224858,51.09,"TRK-CTT2-2","tRNA-Lys (anticodon CTT) 2-2","Downregulated"
100302221,0.0108,0.00375,0.4543,-2.8988196,-1.3169638,86.4,"MIR1291","microRNA 1291",0.919,0.309,0.1335,1.0171997,0.1358412,11.44,"MIR1291","microRNA 1291","Downregulated"
100302743,0.00286,0.000778,0.4036,-3.360627,-1.3564531,84.63,"SNORA80B","small nucleolar RNA, H/ACA box 80B",0.999,0.893,0.2701,-0.134202,-0.036245,16.35,"SNORA80B","small nucleolar RNA, H/ACA box 80B","Downregulated"
100507507,4.09e-11,4.18e-13,0.1637,-7.2496946,-1.1866945,974.98,"FAM131B-AS2","FAM131B antisense RNA 2",0.999,0.746,0.1716,-0.3238589,-0.0555875,513.13,"FAM131B-AS2","FAM131B antisense RNA 2","Downregulated"
100616270,1.53e-05,1.68e-06,0.2581,-4.7886191,-1.235999,17.59,"MIR4651","microRNA 4651",0.226,0.0112,0.1645,-2.5373765,-0.4174331,45.42,"MIR4651","microRNA 4651","Downregulated"
100631383,0.000171,2.84e-05,0.2697,-4.1857135,-1.1290915,189.04,"FAM47E-STBD1","FAM47E-STBD1 readthrough",0.999,0.873,0.1751,-0.1597716,-0.0279716,54.95,"FAM47E-STBD1","FAM47E-STBD1 readthrough","Downregulated"
101927741,0.00621,0.00194,0.3706,-3.0987052,-1.1483182,211.63,"LOC101927741","uncharacterized LOC101927741",0.999,0.699,0.1188,-0.3860161,-0.0458605,65.38,"LOC101927741","uncharacterized LOC101927741","Downregulated"
101927759,1.57e-10,2.12e-12,0.1941,-7.0265599,-1.3641641,85.37,"LOC101927759","uncharacterized LOC101927759",0.999,0.672,0.2604,0.4239051,0.110372,51.53,"LOC101927759","uncharacterized LOC101927759","Downregulated"
101928290,6.15e-11,6.78e-13,0.1667,-7.1837257,-1.1976216,351.07,"PLBD1-AS1","PLBD1 antisense RNA 1",0.999,0.832,0.6591,-0.2126528,-0.140162,252.19,"PLBD1-AS1","PLBD1 antisense RNA 1","Downregulated"
104326052,0.000204,3.49e-05,0.3491,-4.1390267,-1.4448124,285.18,"NRIR","negative regulator of interferon response",0.738,0.157,0.2486,1.4152712,0.351779,36.36,"NRIR","negative regulator of interferon response","Downregulated"
105369402,5.81e-10,1.03e-11,0.322,-6.8025535,-2.1906622,643.66,"LOC105369402","uncharacterized LOC105369402",0.999,0.588,0.4761,0.5413194,0.2577209,72.57,"LOC105369402","uncharacterized LOC105369402","Downregulated"
105370969,4.92e-10,8.29e-12,0.2292,-6.8334353,-1.5659534,31.01,"LOC105370969","uncharacterized LOC105370969",0.999,0.856,0.4448,0.1814792,0.0807133,38.85,"LOC105370969","uncharacterized LOC105370969","Downregulated"
105373148,0.000247,4.34e-05,0.3414,-4.0883804,-1.3956501,92.73,"LOC105373148","uncharacterized LOC105373148",0.999,0.469,0.2125,0.7236395,0.1537539,27.67,"LOC105373148","uncharacterized LOC105373148","Downregulated"
105373171,1.16e-06,8.26e-08,0.2758,-5.3613103,-1.4785957,45.02,"LOC105373171","uncharacterized LOC105373171",0.999,0.673,0.2053,0.421414,0.0865163,37.7,"LOC105373171","uncharacterized LOC105373171","Downregulated"
105373172,1.86e-05,2.11e-06,0.2475,-4.7430488,-1.1741399,160.49,"LOC105373172","uncharacterized LOC105373172",0.999,0.61,0.1777,0.5102782,0.090659,89.21,"LOC105373172","uncharacterized LOC105373172","Downregulated"
105375020,3.43e-09,8.9e-11,0.2467,-6.4844838,-1.5997375,28.21,"LOC105375020","uncharacterized LOC105375020",0.999,0.926,0.3596,0.0930752,0.0334704,13.1,"LOC105375020","uncharacterized LOC105375020","Downregulated"
105375112,3.72e-09,9.76e-11,0.1983,-6.4705831,-1.2830326,856.38,"LOC105375112","putative protein FAM157B",0.999,0.905,0.6903,0.1193347,0.0823759,128.86,"LOC105375112","putative protein FAM157B","Downregulated"
105375508,0.00643,0.00203,0.4187,-3.0862257,-1.2921569,38.87,"LOC105375508","uncharacterized LOC105375508",0.886,0.273,0.1525,-1.096332,-0.1672265,13.5,"LOC105375508","uncharacterized LOC105375508","Downregulated"
105377524,1.87e-05,2.13e-06,0.3381,-4.7405828,-1.6026423,109.99,"LOC105377524","uncharacterized LOC105377524",0.999,0.692,0.2833,0.3956312,0.1120645,10.15,"LOC105377524","uncharacterized LOC105377524","Downregulated"
105378828,1.05e-08,3.34e-10,0.2595,-6.282005,-1.6301835,86.33,"CLCA4-AS1","CLCA4 antisense RNA 1",0.999,0.686,0.1428,0.4038651,0.0576682,59.96,"CLCA4-AS1","CLCA4 antisense RNA 1","Downregulated"
107985568,7.74e-05,1.12e-05,0.2606,-4.3923423,-1.1445026,66.38,"LOC107985568","uncharacterized LOC107985568",0.999,0.906,0.1152,-0.1177487,-0.0135647,42.51,"LOC107985568","uncharacterized LOC107985568","Downregulated"
107986304,1.33e-08,4.36e-10,0.1822,-6.2405064,-1.1368812,530.31,"LOC107986304","",0.999,0.632,0.1899,0.4793166,0.0910187,23.58,"LOC107986304","","Downregulated"
107986413,1.32e-05,1.43e-06,0.2678,-4.8207217,-1.2909403,80.49,"LOC107986413","",0.999,0.484,0.4028,0.6994912,0.2817492,21.75,"LOC107986413","","Downregulated"
108783645,2.77e-05,3.38e-06,0.3109,-4.6463562,-1.4444545,153.1,"HFE-AS1","HFE antisense RNA 1",0.999,0.678,0.2969,-0.4145148,-0.1230521,35.02,"HFE-AS1","HFE antisense RNA 1","Downregulated"
112267855,4.03e-11,4.07e-13,0.1826,-7.2532523,-1.3242303,737.3,"LOC112267855","uncharacterized LOC112267855",0.999,0.607,0.5872,0.5141615,0.3019243,244.8,"LOC112267855","uncharacterized LOC112267855","Downregulated"
